"date";"rain";"tmin";"tmax"
"01/06";0;-12,44;-4,4
"01/06";0;-15,3;-5,38
"01/06";1,38;-3,14;0,18
"01/06";7,44;-5,98;-3,04
"01/06";5,44;-0,44;5,24
"01/06";0;1,16;5,54
"01/06";0;-7,38;-2,1
"01/06";0;-19,44;-12,2
"01/06";2,94;-7,26;-2,04
"01/06";5,28;-3,28;1,62
"01/06";4,72;-0,06;8,5
"01/06";3,92;-4,02;2,28
"01/06";0;-6,7;-0,72
"01/06";0;-3,9;2,16
"01/06";0;-2,16;4,34
"01/06";0;-7,8;1,32
"01/06";0,4;0,3;7,2
"01/06";0;-12,02;-6,16
"01/06";0;-10,24;-0,38
"01/06";0,24;-3,14;-0,34
"01/06";2,98;-1,46;6,42
"01/06";0;-0,14;8,02
"01/06";0;-4,04;2,36
"01/06";2,58;0,84;8
"01/06";0;-9,4;-0,55
"01/06";2,3;-6,625;-2,875
"01/06";7;-7,14;-1,84
"01/06";2,725;0,26;5,62
"01/06";0,775;-6,5;-1,86
"01/06";0,1;1,42;6,22
"01/06";3,925;-1,64;5,32
"01/06";0;-8,86;-4,1
"01/07";2,1;-0,65;5,5
"01/07";0;-4,2;1,075
"01/07";0;-4,575;0,675
"01/07";0;-2,925;4,6
"01/07";0;-8,6;-2,2
"01/07";0;-8,56666666666667;-4,63333333333333
"01/07";2,3;-9,15;-6,7
"01/07";0;-5,5;0,4
"01/07";0;-7,275;-2,225
"01/07";0,32;-0,0999999999999999;5,775
"01/07";6,96;-1,225;5,475
"01/07";0,74;-1,95;2,575
"01/07";1,34;-4;0,25
"01/07";0;-7,15;-0,1
"01/07";0,02;-4,4;1,74
"01/07";2,88;-2,48;1,16
"01/07";0;-12,84;-6,36
"01/07";1,1;-4,92;0,94
"01/07";0;-12,14;-5,02
"01/07";1,68;-10,42;-6,28
"01/07";3,38;-4,96;-0,28
"01/07";0;-7,18;-2,7
"01/07";0,14;-9,38;-2,4
"01/07";0;-12,58;-4,36
"01/07";0;-9,4;-2,14
"01/07";0;-6,66;-0,14
"01/07";0,92;-3,6;1,82
"01/07";12,02;-0,44;5,66
"01/07";0;-0,42;4,24
"01/07";0,02;-4,48;1,12
"01/07";0;-8,78;-0,58
"01/07";0;-12,92;-4,02
"01/07";2,14;-4,22;-0,08
"01/07";2,8;-8,96;-4,22
"01/07";0;-9,12;1,58
"01/07";0,44;0,14;7
"01/07";1,32;-7,02;-0,4
"01/07";0;-22,32;-13,4
"01/07";0;-6,54;-1,66
"01/07";0,66;-8,6;-0,66
"01/07";4,2;0,66;5,82
"01/07";7,1;-0,72;3,48
"01/07";0;-10,18;-2,58
"01/07";0,38;-2,74;2,76
"01/07";0;-2,14;4,62
"01/07";5,46;-0,04;4,22
"01/07";7,84;3,86;10,16
"01/07";0,24;-11,88;-5,84
"01/07";5,6;-3,2;3,76
"01/07";0;-4,24;-0,52
"01/07";0;0,04;6,24
"01/07";0,9;0,02;7,92
"01/07";0;-4,78;2,06
"01/07";30;2,14;5,76
"01/07";0;-8,525;-1,35
"01/07";2,125;-7,7;-3,95
"01/07";1,75;-3,92;2,32
"01/07";0;-0,7;6
"01/07";0;-5,56;-2,66
"01/07";0,05;1,66;7,68
"01/07";3,625;-0,92;4,9
"01/07";0;-9,46;-3,92
"01/08";1,46666666666667;-0,0499999999999998;5,125
"01/08";1,2;-3,5;2,15
"01/08";0;-5,575;1,275
"01/08";0;-3,575;2,075
"01/08";0;-5,75;1,975
"01/08";1,23333333333333;-7,6;-3,23333333333333
"01/08";0,62;-10,7;-6,675
"01/08";0;-6;-0,925
"01/08";0;-10,375;-4,7
"01/08";0,22;-1,325;5,225
"01/08";3,6;-3,375;-0,375
"01/08";2,52;-3,225;0,9
"01/08";1,94;-2,975;0,8
"01/08";1,62;-6,125;-0,9
"01/08";0;-7,14;-1,36
"01/08";0,58;-1,4;0,56
"01/08";0;-12,04;-5,56
"01/08";0,1;-1,92;3,44
"01/08";0;-10,46;-3,94
"01/08";0;-14;-7,88
"01/08";1,42;-8,26;-4,3
"01/08";3,14;-7,4;-1,64
"01/08";0;-12,22;-4,38
"01/08";0;-12,24;-3,06
"01/08";0;-6,54;0,1
"01/08";0;-5,26;0,32
"01/08";0,24;-2,18;2,22
"01/08";7,52;-2,14;3,02
"01/08";0;-1,74;4,46
"01/08";0,4;-4,76;0,12
"01/08";0;-7,58;-0,52
"01/08";0;-10,02;1,04
"01/08";0;-6,96;-1,28
"01/08";0;-13,3;-7,2
"01/08";10,42;-13,68;-7,98
"01/08";1,54;-2,98;2,64
"01/08";1,94;-3,82;0,56
"01/08";0,9;-21,7;-14,02
"01/08";0;-10,12;-2,42
"01/08";0;-13,22;-7,22
"01/08";0;-2,68;1,78
"01/08";4,36;-0,42;4,16
"01/08";0;-10,56;-2,88
"01/08";0;-0,84;5
"01/08";0;-2,9;3,78
"01/08";1,58;1,08;5,3
"01/08";0,72;1,84;9,36
"01/08";0;-10,72;-5,06
"01/08";2,82;-0,1;2,88
"01/08";0;-5;-1,76
"01/08";0;-0,1;5,6
"01/08";5,38;0,22;5,82
"01/08";0;-6,88;1,11022302462516e-16
"01/08";18,4;5,55111512312578e-18;2,96
"01/08";0;-8,6;-1,175
"01/08";0,275;-13,15;-6,3
"01/08";0,35;-3,9;1,7
"01/08";0;0,24;8,18
"01/08";0;-7,38;-3,48
"01/08";1,15;-0,56;6,54
"01/08";0;-2,3;4,28
"01/08";0;-10,64;-4,86
"01/09";0;-4,7;0,8
"01/09";2,76666666666667;-4,925;-0,05
"01/09";0;-2,675;5,3
"01/09";0;-5,275;2,7
"01/09";0,966666666666667;-5,45;1,775
"01/09";1;-6,1;-2,7
"01/09";1;-12,425;-6,25
"01/09";0,6;-6,25;-0,175
"01/09";0,24;-10,975;-1,225
"01/09";0;-1,4;5,95
"01/09";2,54;-5,15;0,15
"01/09";0,1;-6,825;-1,675
"01/09";1,5;-6,975;-1,35
"01/09";0,84;-3,875;0,7
"01/09";0;-8,08;-0,46
"01/09";0;-3,9;-0,4
"01/09";1,16;-11,26;-2,1
"01/09";2,38;-1,36;2,9
"01/09";0,36;-13,14;-6,14
"01/09";0;-15,3;-9,22
"01/09";3,34;-10,46;-5,56
"01/09";0,36;-5,02;-0,94
"01/09";0,08;-9,04;-1,66
"01/09";0;-8,36;1,2
"01/09";0;-5,48;2,84
"01/09";0;-6,66;-2,44
"01/09";0,08;-3,92;2,78
"01/09";0;-5,5;0,4
"01/09";0;-1,62;5,36
"01/09";0;-3,64;-0,72
"01/09";0;-8,18;-1,32
"01/09";6,08;-4,28;2,52
"01/09";0;-11,84;-4,82
"01/09";0;-16,72;-8,26
"01/09";8,4;-11,3;-1,8
"01/09";0;-3,22;1,38
"01/09";1,68;-6;-0,94
"01/09";0,48;-18,4;-12,62
"01/09";1,94;-7,8;-1,98
"01/09";0;-14,4;-4,06
"01/09";0;-5,74;0,24
"01/09";0;-0,54;5,64
"01/09";0;-9,98;-1,42
"01/09";0;-2,46;4,76
"01/09";0;-0,9;5,98
"01/09";0;-0,78;3,6
"01/09";0,28;0,72;4,4
"01/09";1,32;-12,14;-3,34
"01/09";0;-2,2;4,34
"01/09";1,16;-5,18;0,36
"01/09";0;-1,42;5,92
"01/09";0;-1,9;3,42
"01/09";0;-6,74;0,86
"01/09";0;-3,04;2,06
"01/09";0;-7,275;-1,2
"01/09";3,9;-11,6;-7
"01/09";8,325;-3,52;2,24
"01/09";0,1;0,32;5,76
"01/09";0;-9,7;-4,76
"01/09";4,825;2,16;7,52
"01/09";0;-4;3,14
"01/09";0;-12,96;-4,12
"01/10";0;-4,35;6,475
"01/10";0;-9,625;-3,975
"01/10";0,0333333333333333;-2,625;2,975
"01/10";0;-6,625;-0,35
"01/10";3,93333333333333;-4,325;2,25
"01/10";4,06666666666667;-6,06666666666667;-1,7
"01/10";11,84;-9,725;-3,75
"01/10";0;-7,375;-0,0749999999999999
"01/10";3,06;-5;0,05
"01/10";1,02;-1,7;6
"01/10";0,02;-5,4;1,825
"01/10";2,78;-7,825;-4,475
"01/10";0;-15,45;-6,6
"01/10";0;-5,025;0,725
"01/10";0;-5,98;2,74
"01/10";0,6;-5,18;-1,62
"01/10";0,94;-7,54;-2,62
"01/10";6,86;-2,36;3,7
"01/10";0,34;-11,86;-6,86
"01/10";0;-16,56;-8,44
"01/10";1,34;-15,48;-8,34
"01/10";0;-6,92;-1,08
"01/10";0,02;-5,6;2,78
"01/10";0;-10;-1,78
"01/10";0,24;-4,56;2,38
"01/10";0;-7,66;-3
"01/10";0,02;-1,84;2,44
"01/10";0;-5,66;0,8
"01/10";0,66;-2,66;5,06
"01/10";0,56;-5,58;-0,7
"01/10";0,04;-7,76;0,16
"01/10";1,54;-3,64;0,84
"01/10";0;-12,38;-5,88
"01/10";0;-12,14;-3,06
"01/10";4,26;-8,88;-1,22
"01/10";0;-4,18;2,74
"01/10";0,14;-5,6;-1,26
"01/10";0,06;-19,02;-9,6
"01/10";1,36;-6,24;-1,8
"01/10";6,18;-8,82;-3,26
"01/10";0;-6,98;0,64
"01/10";0;-1,66;6,26
"01/10";0;-9,9;-0,76
"01/10";0;-1,04;5,62
"01/10";1,24;-1,26;4,46
"01/10";0;-2,14;3,62
"01/10";0;-1,32;4,3
"01/10";16,62;-5,6;2,28
"01/10";0;-0,76;6,32
"01/10";0,66;-3,88;-0,66
"01/10";0;-1,44;5,8
"01/10";0,92;-3,26;0,8
"01/10";0;-3,44;0,32
"01/10";0;-4,1;1,88
"01/10";0;-7,075;-1
"01/10";0,825;-10,25;-6,725
"01/10";1,55;-0,56;1,94
"01/10";0;-0,6;7,1
"01/10";0;-11,54;-4,14
"01/10";0;3,18;9,46
"01/10";0;-1,06;5,76
"01/10";0;-11,14;-3
"01/11";0;-0,65;4,675
"01/11";0,0333333333333333;-9,25;-2,55
"01/11";16,3;-1,75;2,95
"01/11";0;-4,75;2,175
"01/11";8,96666666666667;-1,075;3,3
"01/11";1,73333333333333;-5,86666666666667;-1,73333333333333
"01/11";32,04;-7,75;-1,875
"01/11";7,16;-4,225;3,125
"01/11";0;-4,25;3,375
"01/11";0,04;-4,025;1,075
"01/11";6,54;-5,6;3,625
"01/11";0,06;-9,8;-4,625
"01/11";0;-17,6;-8,9
"01/11";1,86;-3,775;1,05
"01/11";11,82;-2,12;4,82
"01/11";3,74;-6,84;-3,06
"01/11";0;-10,44;-3,74
"01/11";0;-2,08;2,8
"01/11";1,86;-11,16;-7,42
"01/11";0,58;-15,46;-3,12
"01/11";3,4;-15;-7,74
"01/11";0;-8,5;-2,9
"01/11";0,02;-1,86;7,24
"01/11";0;-7,18;1,84
"01/11";0;-1,66;4,76
"01/11";0;-8,72;-0,12
"01/11";0,24;-2,82;3,74
"01/11";0;-4,16;1,66
"01/11";6,36;0,02;5,36
"01/11";9,22;-5,28;0,6
"01/11";7,04;-7,2;2,6
"01/11";5,24;-4,42;1,24
"01/11";1,12;-11,36;-5,5
"01/11";0;-10,12;-3
"01/11";0,5;-9,92;0,34
"01/11";0;-3,8;3,32
"01/11";0;-11,36;-4,52
"01/11";0,02;-15,1;-7,88
"01/11";10,08;-5,02;1,48
"01/11";5,46;-13,36;-4,5
"01/11";1,46;-6,2;1,6
"01/11";0,08;-2,42;3,8
"01/11";0;-8,84;-0,0599999999999999
"01/11";0,46;0,54;6,66
"01/11";0;-1,54;2,46
"01/11";0;-1,4;5,52
"01/11";0,1;-0,16;4,72
"01/11";10,8;-3,6;1
"01/11";0;1;6,22
"01/11";0;-3,22;-0,58
"01/11";0;-1,34;6,46
"01/11";7,22;-2,78;3,74
"01/11";0;-4,28;-0,22
"01/11";0,08;-0,68;3,3
"01/11";0;-8,875;-1,8
"01/11";0;-13,2;-8,175
"01/11";4,85;-2,26;3,5
"01/11";0;-1,7;5,46
"01/11";0;-10,2;-4
"01/11";3,35;3,14;9,06
"01/11";0,85;-2,72;5,6
"01/11";0;-10,7;-1,98
"01/12";0,833333333333333;-0,05;5,325
"01/12";2,36666666666667;-7,475;-0,575
"01/12";5,63333333333333;-2,125;2,6
"01/12";6,13333333333333;-3,275;6,175
"01/12";0,266666666666667;-5,125;1,45
"01/12";0,166666666666667;-7,36666666666667;-2,76666666666667
"01/12";2,14;-4,075;1,075
"01/12";7,5;0,075;3,95
"01/12";0;-2;6,225
"01/12";0,22;-6,95;-1,875
"01/12";18,76;-2,425;-0,125
"01/12";0;-12,075;-5,075
"01/12";1,7;-14,75;-9,1
"01/12";0,22;-2,5;-0,175
"01/12";2,3;-0,52;2,8
"01/12";7,9;-13,52;-6,34
"01/12";0;-10,04;0,0400000000000001
"01/12";0;-3,64;1,3
"01/12";4,24;-11,26;-7,5
"01/12";0,74;-7,06;1,22
"01/12";0,2;-13,94;-8,06
"01/12";0;-7,08;-0,14
"01/12";0,18;-0,24;7,26
"01/12";0;-5,5;2,1
"01/12";0;-3,22;1,86
"01/12";0;-6,9;-0,14
"01/12";0;-1,74;4,9
"01/12";0;-3,28;1,58
"01/12";0,02;2,9;8,9
"01/12";6,16;-2,94;0,9
"01/12";6,48;-1,74;3,52
"01/12";1,36;-7,96;-2,38
"01/12";0,54;-11,24;-6,68
"01/12";0;-10;-3,16
"01/12";1,2;-3,7;1,7
"01/12";0;-2,66;5,04
"01/12";0,32;-11,94;-2,38
"01/12";0,44;-17,36;-8,3
"01/12";2,24;-3,38;0,98
"01/12";0;-19,54;-12,82
"01/12";0;-5,02;2,04
"01/12";0,2;-3,04;2,7
"01/12";0;-8,74;-0,34
"01/12";4,8;-0,06;3,7
"01/12";0;-4,52;1,08
"01/12";0,88;1,46;8,96
"01/12";0;-0,02;4,76
"01/12";3,5;-4,32;-1,4
"01/12";0;0,96;6,62
"01/12";0;-8,2;-1,2
"01/12";0;-1,14;7,7
"01/12";0,18;-3,2;1,6
"01/12";0;-7,16;-2,62
"01/12";0,08;-1,14;2,12
"01/12";0;-8,175;1,025
"01/12";0;-15,55;-8,6
"01/12";5,75;0,94;4,98
"01/12";1,2;-2,48;4,5
"01/12";0;-10,86;-2,66
"01/12";0;3,26;8,68
"01/12";7,425;-1,42;6,04
"01/12";0;-9,68;-1,96
"01/13";0,1;0,825;9,575
"01/13";0,633333333333333;-5,725;-2,125
"01/13";0;-3,85;2,2
"01/13";3,73333333333333;-1,825;1,775
"01/13";0,3;-6,475;-2,45
"01/13";0;-9,56666666666667;-4,66666666666667
"01/13";0;-6,475;0,475
"01/13";2,32;-0,7;5,325
"01/13";1,06;-1,7;4,075
"01/13";0,4;-6,225;-1,6
"01/13";2,84;-4,05;-0,4
"01/13";0,38;-10,65;-2,35
"01/13";0,74;-12,925;-10,225
"01/13";0;-8;-1,675
"01/13";8,94;-1,04;2,72
"01/13";0,72;-18,82;-11,86
"01/13";0;-7,68;0,66
"01/13";0;-4,66;1,54
"01/13";0,24;-11,7;-7,88
"01/13";0,56;-4,64;2,54
"01/13";0;-17,4;-11,58
"01/13";1,58;-5,32;1,94
"01/13";1,14;-1,7;2,86
"01/13";0;-7,12;-0,52
"01/13";0;-4,26;-0,0599999999999999
"01/13";0;-8,24;-0,5
"01/13";0;-2,22;4,38
"01/13";0;-3,44;2,26
"01/13";0;3,33066907387547e-17;6,56
"01/13";1,38;-4,82;-0,22
"01/13";1,44;-1,12;1,4
"01/13";3,08;-8,2;-2,8
"01/13";0;-13,42;-5,1
"01/13";1,12;-9,22;-2,74
"01/13";0;-6,86;-2,18
"01/13";0,76;-3,6;4,26
"01/13";0,08;-7,02;-0,48
"01/13";0,9;-12,92;-7,38
"01/13";13,54;-2,86;0,82
"01/13";0;-22,48;-9,64
